,Time,Knob a,Knob a Setpoint,Knob b,Coordinate x,Coordinate y,Distance r
2023-05-31T15:00:16.336546000,0.23044776916503906,0.0,1.4,0.0,1.19,0.0,1.19
2023-05-31T15:00:17.106082000,0.9999699592590332,0.0,1.4,0.0,1.0,0.0,1.0
2023-05-31T15:00:17.866751000,1.7606127262115479,0.0,1.4,0.0,1.0,0.0,1.0
2023-05-31T15:00:18.626950000,2.520801067352295,0.0,1.4,0.0,1.0,0.0,1.0
2023-05-31T15:00:19.391064000,3.2849090099334717,0.0,1.4,0.04273635149002075,1.0,0.04273635149002075,1.0009127812845027
2023-05-31T15:00:20.155793000,4.049511909484863,0.5352220296859741,1.4,0.15742678642272948,0.5075143218040467,0.15742678642272948,0.531369908744943
2023-05-31T15:00:20.916093000,4.809896945953369,1.0674915552139281,1.4,0.27148454189300536,0.8824721466052563,0.13778229315911092,0.8931635067792862
2023-05-31T15:00:21.680891000,5.574781894683838,1.4,1.4,0.3,0.047522367811386385,0.2647416439815769,0.2689730720731514
2023-05-31T15:00:22.442456000,6.336292743682861,1.4,1.4,0.3,1.2615799183622158,0.014256710343415914,1.2616604710478296
2023-05-31T15:00:23.204159000,7.097972869873047,1.4,1.4,0.3,-1.2139607362373253,0.37847397550866474,1.2715908222628858
2023-05-31T15:00:23.971012000,7.864825010299683,1.4,1.4,0.3,-0.6847069612675514,-0.36418822087119757,0.7755363840785113
2023-05-31T15:00:24.740409000,8.634051084518433,1.4,1.4,0.3,-0.020541292802739253,-0.2054120883802654,0.20643660228445398
2023-05-31T15:00:25.510827000,9.404413938522339,1.4,1.4,0.3,0.7939971890257236,-0.006162387840821776,0.7940211024932847
2023-05-31T15:00:26.281714000,10.175297021865845,1.4,1.4,0.3,0.11123346150612735,0.23819915670771707,0.2628910824179905
